scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,df_noninferiority,p_upper_test,t_upper_test,df_upper_test,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.15,15.0,SPLADE,RR@10,6980,0.2969339837176513,0.2924414995224451,-0.0044924841952062,-0.05,-0.0148466991858825,1000000.0,-0.00683065976348,-0.0021543086269325,2.4160453463259693e-18,8.68087448393599,6979.0,0.0,-838390407.2642468,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.15,15.0,SPLADE,nDCG@10,6980,0.3525535290063942,0.346894793246232,-0.0056587357601621,-0.05,-0.0176276764503197,1000000.0,-0.0080071269928469,-0.0033103445274773,1.1968680717377892e-23,9.990993614279343,6979.0,0.0,-834743351.9352043,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.15,15.0,TAS-B,R@100,6980,0.8869149952244508,0.8592526265520535,-0.0276623686723973,-0.05,-0.0443457497612225,1000000.0,-0.0319559777162889,-0.0233687596285056,1.4694125468013745e-14,7.617018142349211,6979.0,0.0,-456563229.7493924,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.15,15.0,TAS-B,RR@10,6980,0.3472977213808159,0.341174273434302,-0.0061234479465138,-0.05,-0.0173648860690407,1000000.0,-0.0089145940103468,-0.0033323018826808,1.671771291628185e-15,7.895192563459989,6979.0,0.0,-702329410.6814015,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.15,15.0,TAS-B,nDCG@10,6980,0.4106574638556805,0.4022231683485411,-0.0084342955071394,-0.05,-0.020532873192784,1000000.0,-0.0111977539461207,-0.0056708370681581,5.6679225331793844e-18,8.582321843675063,6979.0,0.0,-709366186.5926703,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.3,30.0,BM25,RR@10,6980,0.1842761631873379,0.1995132919452404,0.0152371287579023,-0.05,-0.0092138081593668,1000000.0,0.0100154190174229,0.0204588384983818,2.8106568818621474e-20,9.17922879692662,6979.0,0.0,-375414189.16255885,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.3,30.0,BM25,nDCG@10,6980,0.2299347532023317,0.2413293057886379,0.0113945525863062,-0.05,-0.0114967376601165,1000000.0,0.0063203181942581,0.0164687869783542,5.798202184745796e-19,8.843479313287766,6979.0,0.0,-386325065.87968487,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.3,30.0,SPLADE,RR@10,6980,0.2969339837176513,0.2859153704461727,-0.0110186132714786,-0.05,-0.0148466991858825,1000000.0,-0.0144823567788412,-0.0075548697641159,0.0151532385414407,2.1665033666986973,6979.0,0.0,-565949521.2525513,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.45,45.0,BM25,RR@10,6980,0.1842761631873379,0.1939043525719743,0.0096281893846363,-0.05,-0.0092138081593668,1000000.0,0.0036033459314465,0.0156530328378262,4.615368430504319e-10,6.1306227542060725,6979.0,0.0,-325370103.7197316,6979.0,True,True,True,True
metadata_qualt5_ALLMETAPJ_ck1,dev.small,0.45,45.0,BM25,nDCG@10,6980,0.2299347532023317,0.2322959582617472,0.0023612050594155,-0.05,-0.0114967376601165,1000000.0,-0.0036868265682708,0.0084092366871019,3.5901760124958727e-06,4.491672933774157,6979.0,0.0,-324122635.9550171,6979.0,True,True,True,True
metadata_qualt5_ATTFUS_ck5,dev.small,0.15,15.0,BM25,R@100,6980,0.6777578796561604,0.6637774594078318,-0.0139804202483285,-0.05,-0.033887893982808,1000000.0,-0.0200874407641856,-0.0078733997324714,8.8202796662321e-11,6.390137294743631,6979.0,0.0,-320991878.1915963,6979.0,True,True,True,True
metadata_qualt5_ATTFUS_ck5,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1984385091190248,0.0141623459316869,-0.05,-0.0092138081593668,1000000.0,0.0096839528676665,0.0186407389957072,1.0557041418752117e-24,10.232323678506823,6979.0,0.0,-437724849.5940181,6979.0,True,True,True,True
