source_file,scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3753190602618803,0.4689618970534333,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9447717231222386,0.9354933726067746,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.6618523550291808,0.697936757957595,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.45.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.4298966910433429,0.553444309695361,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7896743577155947,0.798678612338406,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.4612351574754689,0.4873823836823968,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,BM25,R@100,0.3346747357733505,0.4769567428702132,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8244845360824742,0.8618106692848961,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.5368303149435932,0.5903063303445051,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.3148258122827185,0.4689618970534333,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.927319587628866,0.9354933726067746,True
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.6270135700118019,0.697936757957595,False
compare_all_metadata_qualt5_ATTFUS_2S_test-2019_test-2020_0.6.csv,metadata_qualt5_attfus_2s,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.3585607280635631,0.553444309695361,False
compare_all_metadata_qualt5_ATTFUS_ck5_dev.small_0.15.csv,metadata_qualt5_attfus,dev.small,0.15,15.0,BM25,RR@10,0.198438509119025,0.1842761631873375,True
compare_all_metadata_qualt5_ATTFUS_ck5_dev.small_0.15.csv,metadata_qualt5_attfus,dev.small,0.15,15.0,BM25,nDCG@10,0.2425993738808428,0.229934753202334,True
compare_all_metadata_qualt5_ATTFUS_ck5_dev.small_0.15.csv,metadata_qualt5_attfus,dev.small,0.15,15.0,BM25,R@100,0.6637774594078318,0.6777578796561604,True
compare_all_metadata_qualt5_ATTFUS_ck5_dev.small_0.15.csv,metadata_qualt5_attfus,dev.small,0.15,15.0,SPLADE,RR@10,0.292278846591166,0.2969339837176502,True
