scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,n_queries,mean_full,mean_pruned,mean_diff_pruned_minus_full,lower_bound_relative,lower_bound_absolute,upper_bound_absolute,ci95_low,ci95_high,p_noninferiority,t_noninferiority,passes_pruning_tost_p_lt_0.05,margin_respected_by_mean,margin_respected_by_ci,retained_for_plot
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,97,0.8618106692848961,0.861896579937817,8.59106529209619e-05,-0.05,-0.0430905334642448,1000000.0,-0.0257476881259774,0.0259195094318193,0.0006417578743237,3.3175619445741225,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,97,0.5903063303445052,0.5782938777862628,-0.0120124525582423,-0.05,-0.0295153165172252,1000000.0,-0.0282889149986222,0.0042640098821374,0.0176723436385161,2.134549229766902,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,9.663195744052905,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,97,0.697936757957595,0.6795804993247984,-0.0183562586327969,-0.05,-0.0348968378978797,1000000.0,-0.034941756270966,-0.0017707609946278,0.0253056631389945,1.9796083940987568,True,True,False,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,BM25,RR@10,97,0.7986786123384061,0.8228522336769759,0.0241736213385697,-0.05,-0.0399339306169203,1000000.0,-0.0392831373538415,0.0876303800309811,0.0238708585814564,2.005341708345487,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,97,0.8618106692848961,0.8533055146457208,-0.0085051546391752,-0.05,-0.0430905334642448,1000000.0,-0.0407622380137955,0.023751928735445,0.0179381401557933,2.128259197486365,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,97,0.9354933726067748,0.937039764359352,0.0015463917525773,-0.05,-0.0467746686303387,1000000.0,-0.01975398455378,0.0228467680589347,9.422960619770252e-06,4.503044706679844,True,True,True,True
finetuned_qualt5,test-2019_test-2020,0.6,60.0,BM25,RR@10,97,0.7986786123384061,0.8263745704467353,0.0276959581083292,-0.05,-0.0399339306169203,1000000.0,-0.045910450504777,0.1013023667214355,0.0356459024088314,1.8238122283051503,True,True,False,True
itn,dev.small,0.15,15.0,BM25,RR@10,6980,0.1842761631873379,0.1809292991313048,-0.0033468640560331,-0.05,-0.0092138081593668,1000000.0,-0.0085474414506898,0.0018537133386236,0.0135173118318423,2.211484009396916,True,True,True,True
itn,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,97,0.8618106692848961,0.8617247586319751,-8.59106529209619e-05,-0.05,-0.0430905334642448,1000000.0,-0.0249054967921896,0.0247336754863476,0.0004321408414515,3.4393603956484893,True,True,True,True
itn,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,97,0.9354933726067748,0.9396170839469808,0.0041237113402061,-0.05,-0.0467746686303387,1000000.0,-0.006331679236566,0.0145791019169784,3.9356384821734684e-16,9.663195744052905,True,True,True,True
