scorer,qrels_variant,threshold,pruning_percent,pipeline,metric,value,mean_full,equivalent
itn,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4249284691490533,0.4873823836823968,False
itn,test-2019_test-2020,0.3,30.0,BM25,R@100,0.3813192893974541,0.4769567428702133,False
itn,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.8512600229095076,0.8618106692848961,True
itn,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5250924619923383,0.5903063303445052,False
itn,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.3684849728104692,0.4689618970534333,False
itn,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9298969072164948,0.9354933726067748,True
itn,test-2019_test-2020,0.3,30.0,TAS-B,nDCG@10,0.6280247731160583,0.697936757957595,False
itn,test-2019_test-2020,0.3,30.0,TAS-B,R@100,0.4265376243486187,0.553444309695361,False
itn,test-2019_test-2020,0.45,45.0,BM25,RR@10,0.7560260186548848,0.7986786123384061,False
itn,test-2019_test-2020,0.45,45.0,BM25,nDCG@10,0.3892361746261126,0.4873823836823968,False
itn,test-2019_test-2020,0.45,45.0,BM25,R@100,0.3146783913293879,0.4769567428702133,False
itn,test-2019_test-2020,0.45,45.0,SPLADE,RR@10,0.8571142202585502,0.8618106692848961,True
itn,test-2019_test-2020,0.45,45.0,SPLADE,nDCG@10,0.4903689047566109,0.5903063303445052,False
itn,test-2019_test-2020,0.45,45.0,SPLADE,R@100,0.3103293324288192,0.4689618970534333,False
itn,test-2019_test-2020,0.45,45.0,TAS-B,RR@10,0.9239813451153656,0.9354933726067748,True
itn,test-2019_test-2020,0.45,45.0,TAS-B,nDCG@10,0.5892749264005823,0.697936757957595,False
itn,test-2019_test-2020,0.45,45.0,TAS-B,R@100,0.355671889958548,0.553444309695361,False
itn,test-2019_test-2020,0.6,60.0,BM25,RR@10,0.7037064310260188,0.7986786123384061,False
itn,test-2019_test-2020,0.6,60.0,BM25,nDCG@10,0.3260744914260983,0.4873823836823968,False
itn,test-2019_test-2020,0.6,60.0,BM25,R@100,0.230227065983829,0.4769567428702133,False
itn,test-2019_test-2020,0.6,60.0,SPLADE,RR@10,0.8065537555228278,0.8618106692848961,False
itn,test-2019_test-2020,0.6,60.0,SPLADE,nDCG@10,0.4185768420960318,0.5903063303445052,False
itn,test-2019_test-2020,0.6,60.0,SPLADE,R@100,0.2206483263413986,0.4689618970534333,False
itn,test-2019_test-2020,0.6,60.0,TAS-B,RR@10,0.8774300441826213,0.9354933726067748,False
itn,test-2019_test-2020,0.6,60.0,TAS-B,nDCG@10,0.4888819445001778,0.697936757957595,False
itn,test-2019_test-2020,0.6,60.0,TAS-B,R@100,0.2540992694863033,0.553444309695361,False
perplexity,dev.small,0.15,15.0,BM25,RR@10,0.1772001068813392,0.1842761631873379,False
perplexity,dev.small,0.15,15.0,BM25,nDCG@10,0.2185213324990406,0.2299347532023317,False
perplexity,dev.small,0.15,15.0,BM25,R@100,0.6082020057306591,0.6777578796561604,False
perplexity,dev.small,0.15,15.0,SPLADE,RR@10,0.275082548778823,0.2969339837176513,False
perplexity,dev.small,0.15,15.0,SPLADE,nDCG@10,0.3247900902711174,0.3525535290063942,False
perplexity,dev.small,0.15,15.0,SPLADE,R@100,0.7314469914040115,0.8166905444126075,False
perplexity,dev.small,0.15,15.0,TAS-B,RR@10,0.3189900281984801,0.3472977213808159,False
perplexity,dev.small,0.15,15.0,TAS-B,nDCG@10,0.3751705624564852,0.4106574638556805,False
perplexity,dev.small,0.15,15.0,TAS-B,R@100,0.794484240687679,0.8869149952244508,False
perplexity,dev.small,0.3,30.0,BM25,RR@10,0.1574311524992044,0.1842761631873379,False
perplexity,dev.small,0.3,30.0,BM25,nDCG@10,0.1909892251434098,0.2299347532023317,False
perplexity,dev.small,0.3,30.0,BM25,R@100,0.5178724928366762,0.6777578796561604,False
perplexity,dev.small,0.3,30.0,SPLADE,RR@10,0.2416194228407691,0.2969339837176513,False
perplexity,dev.small,0.3,30.0,SPLADE,nDCG@10,0.2821750177138343,0.3525535290063942,False
perplexity,dev.small,0.3,30.0,SPLADE,R@100,0.6189350525310411,0.8166905444126075,False
perplexity,dev.small,0.3,30.0,TAS-B,RR@10,0.2806083140037286,0.3472977213808159,False
perplexity,dev.small,0.3,30.0,TAS-B,nDCG@10,0.3259523173721409,0.4106574638556805,False
perplexity,dev.small,0.3,30.0,TAS-B,R@100,0.6730420248328559,0.8869149952244508,False
perplexity,dev.small,0.45,45.0,BM25,RR@10,0.1272067016873609,0.1842761631873379,False
perplexity,dev.small,0.45,45.0,BM25,nDCG@10,0.1529407363108821,0.2299347532023317,False
perplexity,dev.small,0.45,45.0,BM25,R@100,0.4143147086914995,0.6777578796561604,False
perplexity,dev.small,0.45,45.0,SPLADE,RR@10,0.1988523331968888,0.2969339837176513,False
perplexity,dev.small,0.45,45.0,SPLADE,nDCG@10,0.2301614885254459,0.3525535290063942,False
perplexity,dev.small,0.45,45.0,SPLADE,R@100,0.4941618911174785,0.8166905444126075,False
perplexity,dev.small,0.45,45.0,TAS-B,RR@10,0.2309661959339606,0.3472977213808159,False
perplexity,dev.small,0.45,45.0,TAS-B,nDCG@10,0.2661381141291638,0.4106574638556805,False
perplexity,dev.small,0.45,45.0,TAS-B,R@100,0.5338586437440305,0.8869149952244508,False
perplexity,dev.small,0.6,60.0,BM25,RR@10,0.0997567312502842,0.1842761631873379,False
perplexity,dev.small,0.6,60.0,BM25,nDCG@10,0.11909113343764,0.2299347532023317,False
perplexity,dev.small,0.6,60.0,BM25,R@100,0.3101361031518624,0.6777578796561604,False
perplexity,dev.small,0.6,60.0,SPLADE,RR@10,0.1551175126210946,0.2969339837176513,False
perplexity,dev.small,0.6,60.0,SPLADE,nDCG@10,0.1782643762017202,0.3525535290063942,False
perplexity,dev.small,0.6,60.0,SPLADE,R@100,0.365090735434575,0.8166905444126075,False
perplexity,dev.small,0.6,60.0,TAS-B,RR@10,0.1788640446627551,0.3472977213808159,False
perplexity,dev.small,0.6,60.0,TAS-B,nDCG@10,0.2039915192264003,0.4106574638556805,False
perplexity,dev.small,0.6,60.0,TAS-B,R@100,0.3936365807067813,0.8869149952244508,False
perplexity,test-2019_test-2020,0.15,15.0,BM25,RR@10,0.8104810996563573,0.7986786123384061,True
perplexity,test-2019_test-2020,0.15,15.0,BM25,nDCG@10,0.4643121727713044,0.4873823836823968,False
perplexity,test-2019_test-2020,0.15,15.0,BM25,R@100,0.427462294783855,0.4769567428702133,False
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,RR@10,0.8700867288496156,0.8618106692848961,True
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,nDCG@10,0.5752992462284737,0.5903063303445052,True
perplexity,test-2019_test-2020,0.15,15.0,SPLADE,R@100,0.4237374345861533,0.4689618970534333,False
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,RR@10,0.9336033382425134,0.9354933726067748,True
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,nDCG@10,0.6781974951290228,0.697936757957595,True
perplexity,test-2019_test-2020,0.15,15.0,TAS-B,R@100,0.49099474295576,0.553444309695361,False
perplexity,test-2019_test-2020,0.3,30.0,BM25,RR@10,0.7975085910652921,0.7986786123384061,False
perplexity,test-2019_test-2020,0.3,30.0,BM25,nDCG@10,0.4528240276800373,0.4873823836823968,False
perplexity,test-2019_test-2020,0.3,30.0,BM25,R@100,0.3726625578772853,0.4769567428702133,False
perplexity,test-2019_test-2020,0.3,30.0,SPLADE,RR@10,0.868654884634266,0.8618106692848961,True
perplexity,test-2019_test-2020,0.3,30.0,SPLADE,nDCG@10,0.5464850680865058,0.5903063303445052,False
perplexity,test-2019_test-2020,0.3,30.0,SPLADE,R@100,0.3629912874001532,0.4689618970534333,False
perplexity,test-2019_test-2020,0.3,30.0,TAS-B,RR@10,0.9344624447717232,0.9354933726067748,True
